Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;06/01/2022;Vente;38000;;;;B050;COLIGNY LE HAUT;1270;COLIGNY;1;108;;AB;237;;;;;;;;;;;;0;;;;;;S;;100
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1221;;;;;;;;;;;;0;;;;;;S;;17
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1223;;;;;;;;;;;;0;;;;;;AB;;427
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1227;;;;;;;;;;;;0;;;;;;S;;465
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1228;;;;;;;;;;;;0;;;;;;S;;11
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1229;;;;;;;;;;;;0;;;;;;S;;48
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1230;;;;;;;;;;;;0;;;;;;S;;11
;;;;;;;1;06/01/2022;Vente;135000;;;;B013;AU CHALAND;1390;RANCE;1;318;;A;1231;;;;;;;;;;;;0;;;;;;S;;1
;;;;;;;1;04/01/2022;Vente;8945;;;;B022;LA CARONNIERE;1340;ATTIGNAT;1;24;;C;1166;;;;;;;;;;;;0;;;;;;P;;1266
;;;;;;;1;04/01/2022;Vente;8945;;;;B022;LA CARONNIERE;1340;ATTIGNAT;1;24;;C;1299;;;;;;;;;;;;0;;;;;;P;;12397
;;;;;;;1;07/01/2022;Vente;89000;;;;B179;LE VILLAGE;1990;SAINT-TRIVIER-SUR-MOIGNANS;1;389;;C;1390;;;;;;;;;;;;0;;;;;;AB;;401
;;;;;;;1;07/01/2022;Vente;89000;;;;B179;LE VILLAGE;1990;SAINT-TRIVIER-SUR-MOIGNANS;1;389;;C;1394;;;;;;;;;;;;0;;;;;;AB;;334
;;;;;;;1;07/01/2022;Vente;89000;;;;B179;LE VILLAGE;1990;SAINT-TRIVIER-SUR-MOIGNANS;1;389;;C;1396;;;;;;;;;;;;0;;;;;;S;;13
;;;;;;;1;06/01/2022;Vente;449000;;;;B043;AU PLAT;1600;REYRIEUX;1;322;;ZM;364;;;;;;;;;;;;0;;;;;;S;;367
;;;;;;;1;06/01/2022;Vente;449000;158;Q;CHE;270;DES MINIMES;1600;REYRIEUX;1;322;;ZM;370;;;;;;;;;;;;0;1;Maison;;113;4;S;;513
;;;;;;;1;06/01/2022;Vente;449000;;;;B043;AU PLAT;1600;REYRIEUX;1;322;;ZM;372;;;;;;;;;;;;0;;;;;;S;;47
;;;;;;;1;07/01/2022;Vente;299000;519;B;CHE;160;DES CORBETTES;1600;SAINT-DIDIER-DE-FORMANS;1;347;;C;718;;;;;;;;;;;;0;1;Maison;;80;3;S;;59
;;;;;;;1;07/01/2022;Vente;299000;;;;B009;LA BOTASSE;1600;SAINT-DIDIER-DE-FORMANS;1;347;;C;796;;;;;;;;;;;;0;;;;;;J;;12
;;;;;;;1;07/01/2022;Vente;299000;;;;B009;LA BOTASSE;1600;SAINT-DIDIER-DE-FORMANS;1;347;;C;799;;;;;;;;;;;;0;;;;;;S;;100
;;;;;;;2;06/01/2022;Vente;379000;;;;B045;LE BOURG;1220;GRILLY;1;180;;AR;264;;;;;;;;;;;;0;;;;;;P;;304
;;;;;;;2;06/01/2022;Vente;379000;;;;B037;LES RIPPES;1220;GRILLY;1;180;;AR;266;;;;;;;;;;;;0;;;;;;P;;711
;;;;;;;1;12/01/2022;Vente;145000;2;;ALL;220;DES ERABLES;1990;SAINT-TRIVIER-SUR-MOIGNANS;1;389;;F;838;;108;12;0;;;;;;;;;1;3;Dépendance;;0;0;;
;;;;;;;1;12/01/2022;Vente;145000;6;;ALL;220;DES ERABLES;1990;SAINT-TRIVIER-SUR-MOIGNANS;1;389;;F;838;;35;48;19;;;;;;;;;1;2;Appartement;;57;2;;
;;;;;;;1;07/01/2022;Vente en l'état futur d'achèvement;220970;;;GR;55;GRANDE RUE;1340;MONTREVEL-EN-BRESSE;1;266;;AC;170;;19;;;;;;;;;;1;;;;;;;;
;;;;;;;1;07/01/2022;Vente en l'état futur d'achèvement;220970;;;GR;55;GRANDE RUE;1340;MONTREVEL-EN-BRESSE;1;266;;AC;170;;86;;;;;;;;;;1;;;;;;;;
;;;;;;;1;06/01/2022;Vente;103500;6;B;RUE;50;ANDRE;1190;PONT-DE-VAUX;1;305;;AE;259;;3;44;90;;;;;;;;;1;2;Appartement;;21;2;;
;;;;;;;1;06/01/2022;Vente;103500;6;B;RUE;50;ANDRE;1190;PONT-DE-VAUX;1;305;;AE;259;;3;44;90;;;;;;;;;1;2;Appartement;;45;3;;
;;;;;;;1;04/01/2022;Vente;270000;2;;IMP;1080;DE CUIRON;1000;BOURG-EN-BRESSE;1;53;;AT;21;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;90;0;S;;984
;;;;;;;1;04/01/2022;Vente;270000;2;;IMP;1080;DE CUIRON;1000;BOURG-EN-BRESSE;1;53;;AT;21;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;120;0;S;;984
;;;;;;;2;13/01/2022;Vente;12921;;;;B017;BOIS DES TEPPES;1370;BENY;1;38;;B;98;;;;;;;;;;;;0;;;;;;T;;9365
;;;;;;;2;13/01/2022;Vente;12921;;;;B017;BOIS DES TEPPES;1370;BENY;1;38;;B;99;;;;;;;;;;;;0;;;;;;T;;2980
;;;;;;;2;13/01/2022;Vente;12921;;;;B017;BOIS DES TEPPES;1370;BENY;1;38;;B;100;;;;;;;;;;;;0;;;;;;P;;7210
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;183;;;;;;;;;;;;0;;;;;;T;;4195
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;184;;;;;;;;;;;;0;;;;;;VI;;1240
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;188;;;;;;;;;;;;0;;;;;;P;;13380
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;193;;;;;;;;;;;;0;;;;;;P;;1115
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;200;;;;;;;;;;;;0;;;;;;T;;9170
;;;;;;;2;13/01/2022;Vente;12921;;;;B073;LE MANILLER;1370;BENY;1;38;;C;694;;;;;;;;;;;;0;;;;;;T;;2835
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;727;;;;;;;;;;;;0;;;;;;P;;7626
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;729;;;;;;;;;;;;0;;;;;;P;;340
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;731;;;;;;;;;;;;0;;;;;;T;;2863
;;;;;;;2;13/01/2022;Vente;12921;;;;B021;LES CARONNIERES;1370;BENY;1;38;;C;733;;;;;;;;;;;;0;;;;;;P;;1746
;;;;;;;2;13/01/2022;Vente;12921;;;;B073;LE MANILLER;1370;BENY;1;38;;C;761;;;;;;;;;;;;0;;;;;;P;;7720
;;;;;;;1;13/01/2022;Vente;440;;;;B088;EN PUSSIN;1370;BENY;1;38;;C;137;;;;;;;;;;;;0;;;;;;T;;2445
;;;;;;;1;05/01/2022;Vente;217000;38;;RUE;16;DU BUGEY;1360;LOYETTES;1;224;;A;1085;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;163;0;S;;425
